,video_id,title,channel_id,channel_title,view_count,comment_count,wikipedia_categories,duration,comments
31,m8IjlGWOFDg,Annie Bosko - &quot;Neon Baby&quot; - (Official Music Video),UC6MzHPq7kT4AIZoIX7Dtplw,Annie Bosko,66416,62,"['https://en.wikipedia.org/wiki/Country_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M36S,"['This song is sooo smooth ❤❤❤❤', 'Excelente', 'A la maquina, girl!', 'manda um olá para o brazil!!!!', 'Hello Annie, I really liked the song and added subscribed to your channel.  I can’t wait to listen to more of your songs.  I will be looking to see if you come out to Southern California.  Keep up the good work.', 'Country music', 'Beautiful song and now a video to match! Congrats, Annie! I love watching your career catch fire. Please come play Atlanta/north Georgia SOON!!', 'We are seeing the birth of a Legendary country singer Annie Bosko ❤❤❤ Love this Annie , been on repeat for hours , lol ... Love you lots ❤❤❤😊', 'cool, just the beginning I think ;-)', 'The spiritual light switch turns on a new ability to engage and please.']"
32,SCgDHBE0xjg,MAANDY - &quot;MBICHI&quot; Ft BREEDER LW (Official Music Video),UCA-KAJf71B6_G_RFu94LB-Q,Maandy,49928,424,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M30S,"['Ulisema uliniona wapi ??', 'Goma...litafika town kweli 😂', 'Mandy and saruu should do that thing', 'Mamaa wifey alafu bibii😂', ""They aren't pregnant but they always deliver ❤️💯"", 'Weeseeeee 🔥🔥', 'Yoooh metro', 'My best TK artist ..@ metro suka doba', 'Maandy + breeder =🔥🔥', 'Huyu Dem ni mauru']"
33,5UDD2OypnU8,Era7capone - illegale ( Official Music Video ),UCj5Knp575d1ZF1KvhA6S1VQ,Act EARLY,45083,205,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M45S,"['X yürürüm kordioru yayında 🎉😢\nX bas gaza yada x dydk veya 🎉🎉da x aç gözünü diye şarkılarım ❤❤var dinleyin', 'Spedd Up Halı Kanalımda', 'Spedd Up Halı Kanalımda', 'Spedd Up Halı Kanalımda', 'Spedd Up Halı Kanalımda', 'Spedd Up Halı Kanalımda', 'AYNI OYUNDA OLANLARA SELAM OLSUN :D', 'охуенно, мужик! big respect from RU 🇷🇺🇷🇺', 'mix kişiden kişiye değişmekle, bana bir şey eksik gibi geliyor kral yine de ağzına yüreğine sağlık', 'Adam işini mükemmel yapıyo']"
34,_td7ilyLBgY,Shotgun Willy - Good Morning Vietnam (Official Music Video),UCTg6Jny4X_LteWGccXf596Q,Shotgun Willy,57094,1245,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M20S,"['dam on of the first seeing this', 'Call me crazy but the very end sounds like the lego yoda death sound.', 'This dude is literally turning into a sem-terrorist', 'another beautiful music video', 'Great songs but it was hard enough getting over my friends blasting me with bombs away.', 'HE MAKE ANOTHER HIT!! 🔥', '0:06 \n\nlego yoda screaming', 'Shotcum Willy always makes hard songs also I edged to this', 'dang he really snuck in a lego yoda death sound in there', 'The music videos have been so fire🔥']"
35,lxWIim5Qn10,Mỹ Anh - Đánh Cược | OFFICIAL MUSIC VIDEO,UCTPlvjeNZyJEJPsftSroXGQ,Mỹ Anh,53875,115,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M16S,"['Like mạnh', 'Mình thích nét nhạc riêng của MA, respect for you and waiting for your fulture', 'Amazing, Congrats🥰💛', 'âm nhạc của mỹ anh rất lạ tai và cuốn nha', '1 su copy ko hề nhẹ từ Hà Trần , chê', 'Chẳng hiểu sao nghe bài này nước mắt mình lại rơi. Cảm giác rất thấu. Chúc mừng Mỹ Anh và cả ekip đã có một bài hát tuyệt vời 🎉', 'Quá là đỉnh!', 'mãi đĩnh mãi yêu <3', 'Hiếm lắm mình mới nghe được ca khúc Việt đậm chất R&B vậy. Keep going, Mỹ Anh!!!❤', 'yêu màu nhạc của Mỹ Anh']"
36,dPWTYdtoiUk,Lesti - Angin (Official Music Video) Reaction #lestikejora #lesti #angin #youtubemadeforyou,UCK7NplXDs8sMsSgMyqaqQMw,OVUADA OKPEN,46969,33,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",PT56S,"['Ko dia ikut nangis,, emng dia ngerti Bahasa Indonesia ya', '😢😢😢😢😢😢', 'Subhanallah❤❤❤', 'THIS SING VERY NICE', '😢😢😢', 'OMG dede', '❤❤❤', 'The best Lesti 👍👍👍', 'Ya alloh kurus banget', '😭😭😭😭😭😭ya alloh sediih..']"
37,QC3qrfnh9p0,Abo El Anwar X Lil Baba | Artistic (Official Music Video) أبو الأنوار وليل بابا | أرتيستك,UCIk0me5V_q_xCLKy4A5UKQA,Abo El Anwar,39248,138,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M12S,"['damnnnnn', 'ك سمك يفنان', 'اي الخولنه دي يسيكا', 'ليل بابا يخليه في البروداكشن بس احسن', 'lil baba ده مش مجاله خالص انه يراب', 'تراك دمار 💥💥💥', 'Lil baba carried this track', 'سانتا من غير ميعمل حاجه واكل الجو بردك', 'سنترال سين❤', 'عظمة']"
38,1OHCSTZwOLE,Skeng - Taboo | Official Music Video,UCapH8j0tQIs3KafImI9YqIQ,SkengVEVO,49321,566,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M29S,"['UP😂😂😂😂😂😂😂😂😂😂', 'No boy RG run the world now gunman song bad no BBC', '💯', 'Which language is this', '""Suck mi dry like cals bag juice""', 'Badman music🔥🔥', 'Cya hear a thing', 'maddddddddddddddddd', 'mi artist back🔥🔥🔥🔥', 'Upful']"
39,PrTLC5IeikY,Νικόλας Ραπτάκης x Ripen - Βάλε Ένα Ποτό - Official Music Video,UCE2a9E3B2EjO0_rg2mgVmlg,PanikRecordsTube,36510,30,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M50S,"['Ηχορύπανση', 'χάλι μαύρο', 'Τόσο χάλια μουσική δεν έχω ξανακουσει έλεος ποια  καταστρέφουν σιγά σιγά την ελληνική μουσικη.🥴🥴🥴🥴αλλά δυστοιχος επειδή είναι γνωστοί για αυτό τα βγάζουν τα τραγούδια αυτά.ποσες φορές έχω στειλη τραγούδια στην εταιρία και επειδή δεν έχω γνωστό δεν μπόρεσα να κάνω τίποτα.🥺🥺🥺🥺🥺🥺', 'Να φανταστώ ο Ριπεν είναι ακόμα ένας Αλβανοτράπερ ;;; 😂😂😂', 'Ποσο πληρωνουν για να τους κανουν βιντεοκπλιπ και τραγουδια?', 'Στίχοι: Έφερες καταστροφές \r\nάναψες φωτιές και τα καις.\n Έφερες καταστροφές \r\nτελικά είσαι καλή. \n\r\nΘέλω να μεθύσω για σένα, \r\nψάχνω τρόπους να ξεχαστώ,\r\nθέλω να χορέψω στο τέρμα, \r\nνα δοκιμαστώ. \nΔεν θέλω να γίνω ένας άλλος, \r\nγουστάρω τα λάθη και ζω,\r\nέχω πλέον χίλιους και κάτι, τρόπους \nνα καταστραφώ. \n\r\nΣτο μπαρ κερνάω σφηνάκια\r\nκαι ψάχνω να σε δω,\r\nτεκίλα να ξεχάσω,\r\nβότκα να θυμηθώ.\n \r\nΑπόψε βγήκα πάλι εγώ,\r\nκαι για τους δύο\nκαι όμως σε βλέπω πάλι εδώ, \nείναι αστείο. \r\nΑπόψε βγήκα πάλι εδώ στα μέρη \r\nτα δικά μας \r\nσε βλέπω μέσα στο καπνό, \nκαι πίνω στην υγειά μας.\n \r\nΒάλε ένα ποτό (Χ3)\nβάλε άλλο ένα να πιω.\nΒάλε ένα ποτό (Χ3)\r\nβάλε άλλο ένα να πιω.\n\n Έφερες καταστροφές (ώπα)\nάναψες φωτιές και τα καις (όλα),\n Έφερες καταστροφές (ώπα)\nτελικά είσαι καλή. (Χ2)\n\nΤόσοι σε γουστάρουνε, τόσοι\n εσύ όμως δεν θέλεις κανέναν,\n ο πρώην σου σε έχει πληγώσει\n και τώρα βγάζεις απωθημένα. \nΜα ήπια και τα έχω χαμένα \nδεν ξέρω καν τι νιώθεις για μένα,\nτο μαγαζί κερνάω για σένα\n όλα κερασμένα. \n\nΣτο μπαρ κερνάω σφηνάκια\nκαι ψάχνω να σε βρω\nτεκίλα να ξεχάσω\nβότκα να θυμηθώ.\n\nΑπόψε βγήκα πάλι εγώ,\r\nκαι για τους δύο\r\nκαι όμως σε βλέπω πάλι εδώ, \r\nείναι αστείο. \r\nΑπόψε βγήκα πάλι\nεδώ στα μέρη τα δικά μας \r\nσε βλέπω μέσα στο καπνό, \r\nκαι πίνω στην υγειά μας.\n\nΒάλε ένα ποτό (Χ3)\r\nβάλε άλλο ένα να πιω.\r\nΒάλε ένα ποτό (Χ3)\r\nβάλε άλλο ένα να πιω.', '🍸🍾', 'Το βαρέλι δεν έχει πάτο.....', 'the inspiration you give is amazing', 'Ωραίο καλή επιτυχία']"
40,zpir0--j3RM,Alkaline Trio - Break (Official Music Video),UCxnS0WDBVfBnTP2e97DYDSA,riserecords,36525,199,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M24S,"['On repeat', 'Wow❤', 'Dudes haircut is dumb!', 'Skiba joins blink and writes a catalog of mediocre songs. Comes back to Alkaline Trio and writes one of their best albums to date! Banger after banger on this record. Good to see him back in his element.', ""They should have called the band Alkaline Three-O because there's 3 of them"", 'Hell Yeah! ❤ 💀 ❤', 'Reminds me a little bit of Heavens! So good! Album is absolutely mint! 👌😁', ""🤟👽🛹\n🗣️ Let's go!!  \n\n\n\nLegends never die.."", ""This feels like Throw Me to the Lions meets Back to Hell meets We've Had Enough"", '🔥']"
