,video_id,title,channel_id,channel_title,view_count,like_count,comment_count,wikipedia_categories,duration,comments
250,fCO7f0SmrDc,(여자)아이들((G)I-DLE) - &#39;Nxde&#39; Official Music Video,UCritGVo7pLJLUS8wEu32vow,(G)I-DLE (여자)아이들 (Official YouTube Channel),281838179,3671827,109253,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M4S,"['there was a korean website called nxde that showed nude pictures of underage girls, so they made this song so that when you searched up nxde, the song would pop up instead of the website', 'Why did you left BLACKPINK? Ch mi yeon?', 'Why did you left BLACKPINK?', '3 тий день слышу подряд 😍', ""вот берите текст \nWhy you think that ’bout nude\r\n’Cause your view’s so rude\r\nThink outside the box\r\nThen you’ll like it\r\n\r\nHello my name is 예삐 예삐요\r\n말투는 멍청한 듯 몸매는 섹시 섹시요\r\n그럼 다이아 박힌 티아라 하나에\r\n내가 퍽이나 웃게 퍽이나 웃게\r\n\r\n뒤틀려버린 로렐라이 Don’t need no man\r\n철학에 미친 독서광 Self-made woman\r\n싸가지없는 이 Story에 무지 황당한\r\n야유하는 관객들 You tricked me you’re a liar\r\n\r\n아 발가벗겨져 버린 Movie star\r\n아 별빛이 깨져버린 밤\r\n꼴이 볼품없대도 망가진다 해도\r\n다신 사랑받지 못한대도\r\n\r\nYes I’m a nude\r\nNude 따따랏따라\r\nYes I’m a nude\r\nNude I don’t give a love\r\n\r\nBaby how do I look, how do I look\r\n아리따운 날 입고 따따랏따라\r\nBaby how do I look, how do I look\r\n아리따운 날 입고 따따랏따라\r\n\r\n(Ouch!)\r\n실례합니다 여기 계신 모두\r\n야한 작품을 기대하셨다면\r\nOh I’m sorry 그딴 건 없어요\r\n환불은 저쪽 대중은 흥미 없는 정보\r\n그 팝콘을 던져도 덤덤\r\n행복과 반비례 평점\r\nBut my 정점 멋대로 낸 편견은 토할 거 같지\r\n\r\n아 발가벗겨져 버린 Movie star\r\n아 더 부끄러울 게 없는 밤\r\n꼴이 볼품없대도 어쩌면 네게도\r\n다신 사랑받지 못한대도\r\n\r\nYes I’m a nude\r\nNude 따따랏따라\r\nYes I’m a nude\r\nNude I don’t give a love\r\n\r\nBaby how do I look, how do I look\r\n아리따운 날 입고 따따랏따라\r\nBaby how do I look, how do I look\r\n아리따운 날 입고 따따랏따라\r\n\r\nUm ha um ha um ha um\r\nYes I'm a nude\r\nYes I'm a nude\r\nNow I draw a luxury nude\r\n\r\nWhy you think that ’bout nude\r\n’Cause your view’s so rude\r\nThink outside the box\r\n까고 말해\r\n\r\n아리따운 나의 누드\r\n아름다운 나의 누드\r\nI’m born nude\r\n변태는 너야\r\nRude\r\n\r\nNude"", 'Я из России', 'Esse mv é tão perfeito que quero morar nele', 'They dared, and it payed off, love from neverland❤', '2034??', 'This song is very good ♡']"
251,GLvohMXgcBo,Red Hot Chili Peppers - Under The Bridge [Official Music Video],UCEuOwB9vSL1oPKGNdONB4ig,Red Hot Chili Peppers,280771617,1389503,35077,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",PT4M28S,"['It has been confirmed that the Red Hot Chili Peppers will embark on a world tour in 2022! Sign up on https://redhotchilipeppers.com for more information.', 'Tu ketchup rie\nSolo un loquito pique\nEn el cuarto piensa\nSuperpan seguimos roll\nCon lo que cuenta El debil', 'INXS elegantly wasted', ""Wowww, 1991, 90's the Best...."", '👍😁♥️🇮🇩', 'I love you guys', 'who else in 2025 watching this?', 'LONG LIVE FLEA.', 'The vocalist looks like a girl', 'Who 👞 that song is hot😅❤']"
252,rCiBgLOcuKU,Cardi B - Up [Official Music Video],UCxMAbVFmxKUVGAll0WVGpFw,Cardi B,279565751,3931626,159098,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M50S,"['Google how to survive without music', '😭💔', 'Something is very very disappointing because they are at a cemetery of something very rude', 'See the victor noir part?', 'https://www.youtube.com/watch?v=UeN0vJ6WFCs', 'My husband was broke when we first started dating but I married him. These toxic messages of caring if guys have money need to stop. ❌', 'Привет бро все бомба ты класс я Гелик❤❤❤Казань Татарстан', ""As a 45 year old man who grew up on hip hop this is some old-school shit that bangs hard. Fr  Only thing it's missing is that classic 808"", 'I love uuuu❤❤❤❤❤❤', 'XRP🎉🎉']"
253,-OnRxfhbHB4,Francesco Gabbani - Occidentali&#39;s Karma (Official Music Video),UCb6kcwFazKZmpA_fPzLZ7sg,FrancescoGabbani,279031094,1327033,74566,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M38S,"['La mia infanzia ❤\nMi ricordo che in ludoteca( un posto per bambini) la ascoltavamo ❤', 'Grazie Yazoo, ""Don\'t go"" (progetto pop elettronico ante Depeche Mode) x aver fornito l\'inizio a questa ""pietra miliare"" della musica che l\'italiano medio, secondo quest\'altra cima, non può capire...\nP.S. Inascoltabile, inguardabile con 4 parole (tipo panta rei) appiccicate lì per far della scena. Del resto, ognuno si costruisce i propri idoli a sua somiglianza...\nhttps://youtu.be/_sQGwDeambg?si=UfIPjTRjRnrsC-tT', 'Per me qst canzone è fantastica,è una sottile presa per il kul0 a tt gli indottrinati, che pensano che se nn segui le mode se out..quando invece propri per colpa delle mode la maggioranza della gente non ha piu una personalita propria, ma è adeguata alla moda, legata alla moda cn mille catena, ma pensandosi liberi nelle loro scelte (quando non è cosi).\nSta canzone oltre che essere super orecchiabile ha un contenuto per pochi 😊😊😊', 'Questa canzone e di una genialita unica!', 'I love this song', 'Mia mamma ti ama e ti segue', ""Ungheria fa schifo se Putin andasse un po' contro Ungheria farebbe un favore a tutti qui ci sarebbero la Ola basta cin questa maledett Ungheria schifosissima Ungheria"", '2024 e questa canzone e ancora top', 'Bei tempi…', 'ATTENZIONE: Francesco sei il mio idolo 😊']"
254,-BjZmE2gtdo,Taylor Swift - Lover (Official Music Video),UCANLZYMidaCbLQFWXBC95Jg,TaylorSwiftVEVO,276706851,3618846,102313,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M59S,"['WE LOVE YOU TAYLOR❤❤❤', 'Sie ist nicht  meine  FAL  geschmeckt  sach .', 'if i was travis i would demmand this song every thursday', 'Whose here in 2024❤this song still holds a special place in my heart', ""No girlfriend but still I'm here🙂🙂😌"", ""I've never felt this single in my entire life😢"", 'Taylor has come a long way since ""Tim McGraw"". How\'s it feel to be a Satanist, Taylor? Do you sleep well at night?', 'a capa do vídeo está estragando a musica', 'a capa da tumbnail estragou a musica', 'Favorite  😻']"
255,Tm8LGxTLtQk,One More Light [Official Music Video] - Linkin Park,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,275083414,2774751,170873,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",PT4M31S,"['RIP, your light still burns in us all.', 'Du bist der Beste.Vermisse Dich.😢', 'Eu te amo, cara', 'I’m back here in 2024, and I feel like it’s only us that care , just us , just that lil doggie I met on the beach all those years ago , just a lil pup , I know she cares , and that’s all that matters ❤, I care brother , we do , we all do 🤗', '❤❤❤', 'Сколько-бы времени не прошло, мы всë ещë возращаемся сюда, чтобы услышать его снова, как не странно самый мягкий альбом оказался самым тяжëлым🥲', 'I miss you man😢', 'Please come back, Chester', 'Memories and the Nostalgic moments from my childhood goes through my mind everytime i hear this', ""I've been Tru depression,is not easy, nobody knows how it is, until you go tru it ...I started liking LP too late,now I'm a fan ..Chester ,we miss you, you live in our hearts. 😢😢""]"
256,5RDSkR8_AQ0,50 Cent - Ayo Technology (Official Music Video) ft. Justin Timberlake,UC0sL86jDLgs2fGRD-XBnPQA,50CentVEVO,274550899,1477735,33137,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M9S,"['No tolerance to helping british soilders abusing chief of staff stuck on the window intellgance set 17 year old boys up the crown they faught for im helping them do something no tolerance to abusing the blessed virgin mother queen of heaven no tolerance to abusing the king of heaven no tolerance to avmbusing queen of earth no tolerance to abusing king of earth do something i wont you do something dr didnt want to no because i new his script so he wouldnt see me ive had no food again but thats fine its only food i hungar for mire than food so ive had to deal with that my hole life hungar for rightousness the food was never a problem but im staying up all night again to let you saragh abuse me again', '2024 🇧🇷', '❤🛋️🕯️💡🚦🔦🏮⚡', 'This was such a fucking banger', 'I have had enough curtis although ill never give up or give in no surender ever', 'that ""she wants it"" part was so bad and cringe', 'Kindered spirits nap kin a kinder suprise now you no y i gave it to the child in the spar i broke it in have 2 for price of one chocalate white and browne you even get a toy to assembele and disasemble wow isnt that great', 'Lol live lol well i no you didnt see him dead you never will lol', 'I no im buzzing curtis i think i am high its because im bringing every body up  love doves lol its ecstasy without taking extacy', 'Lol gay beats lol i no the sean south bastards i no get vladimeres doctors to phone curtis tell them you seen everything do it my fsther commands you to i need to leave its 5 of february']"
257,DelhLppPSxY,Avenged Sevenfold - Hail To The King [Official Music Video],UCFcqi7MrlzIp9RMTtUlxE8g,Avenged Sevenfold,272947509,1585072,59303,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT5M14S,"['Jesus is King of Kings...But the song does rock', '🤍🖤\U0001fa76', '🤍🤍🤍🤍🤍', '🖤🖤🖤🖤🖤', 'Day 35 of listening to this song everyday for a year', 'Everyone always talks about Synyster Gates solos (i love them all) but something that catches my attention on almost all of A7X songs is the Rhythmic guitar riffs. To me they have some of the best rhythmic guitar riffs, my favorite being the one from Burried Alive that starts at 3:58 (i love it so much i made the instrumental my ringtone)!', 'Looking forward to their upcoming Gig on my VR headset.', '🤮🤮🤮', 'Hope to see more', 'Uma das melhores bandas existentes no mundo do Rock! Avanged Sevenfold top demais.']"
258,vjVkXlxsO8Q,Papercut [Official HD Music Video] - Linkin Park,UCZU9T1ceaOgwfLRq7OKFU4Q,Linkin Park,271381931,1560960,52673,"['https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M13S,"['Just keep coming back', 'Hybrid Theory, Reanimation, and Meteroa are literal perfection', 'When the glory shows up LEAVE it ALONE', ""You shouldn't have ERASED it"", '*Still these days masterpiece make great Energy. Thats why NUMETAL its King Of Metal & Rock Songs!*', 'Pure gem. LP always manages to hit hard...no matter how long has passed.', 'Psalm 91', 'Psalm 121 134', 'Give me a like in remembrance of Chester and how he made our childhood.', 'Work']"
259,SxGLPVvNjvY,Ava Max - So Am I [Official Music Video],UCOwgc8DswjoBMuuUU2ScPvQ,Ava Max,270439849,3253536,87405,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M14S,"['2024?', 'Yet another great number from Ava ❤', '2024 🎉❤', 'Ava Max is the queen', ""Who's here in 2024??🤩🤩🤩"", '❤', '❤', 'Who here in 2024???', 'Who here in 2024🙁🤟🏻', 'Ava is so underrated in this swiftian era']"
