,video_id,title,channel_id,channel_title,view_count,like_count,comment_count,wikipedia_categories,duration
510,qq017C-ljbM,6ix9ine - Dueño (feat. Lenier) (Official Music Video),UCj6VcdydCCSqwCsp8I-zLBA,AYO NEO 6ix9ine,3129466,59222,613,['https://en.wikipedia.org/wiki/Music'],PT16S
511,ZDZiXmCl4pk,"Kygo, Ava Max - Whatever (Official Video)",UCYpVqLSvfseUqb2URAkexlw,KygoOfficialVEVO,3870111,150435,7165,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M9S
512,Oa_RSwwpPaA,Benson Boone - Beautiful Things (Official Music Video),UCvILah8hAWYhYOmAG3ZjvBA,Benson Boone,3710942,158827,5977,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M13S
513,qguo-j5PxBE,Jeff Satur - ซ่อน (ไม่) หา l Ghost【Official Music Video】,UCSFWkjQRmSJoz9QQ4lkwlDA,Jeff Satur,3160922,147858,4645,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M11S
514,0oMzHJzqk4s,Kevin Gates - Birds Calling (Official Music Video),UCj2GTFekdV3EUsTVN8oaEqA,kevingatesTV,2454410,58645,2544,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M21S
515,UAoI1SyWprI,VANNDA - 6 YEARS IN THE GAME FT. AWICH (OFFICIAL MUSIC VIDEO),UCrmidtzX3ZPVxYRjTI6V6tA,វណ្ណដា-VannDa Official,1854572,122566,6454,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M43S
516,YlC4YpcL2Gc,#大人ブルー (Official Music Video)公開中🎉 #shorts #新しい学校のリーダーズ #ATARASHIIGAKKO #オトナブルー #OTONABLUE #首振りダンス,UCp0iCvHGMwyfPHpYq7n2sPw,ATARASHII GAKKO! - 新しい学校のリーダーズ,1848707,44846,287,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT43S
517,gY4U84swmiI,Pabllo Vittar - Pede pra eu ficar (Listen to your heart) (Official Music Video),UCugD1HAP3INAiXo70S_sAFQ,Pabllo Vittar,1858595,87171,16828,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M10S
518,cbxMhZCZohE,HAATH VARTHI w @KSHMRmusic  Official Music video Dropping tomorrow 12 PM !! 🏃 🏃 🚨🚨,UC_Q-YjEXDN0ufkU4AoWhU1g,MC STΔN,1217914,187425,2319,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT21S
519,KvFvx_SSDxs,Haifa Wehbe - Woseltelha (Official Music Video) | هيفاء وهبي - وصلتلها,UCUpLrHLtpJKplgkR__bZfMw,Haifa Wehbe,1213068,36225,2114,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M6S
520,ku6A5w6uWtY,Lil Dicky – HAHAHA (Official Music Video),UC8rVJyj4zE0S9-sccMLifIA,Lil Dicky,1222525,56311,3122,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT4M29S
521,iIKE82eGr8I,Saad Ramadan - 3enda Shi (Official Music Video) | سعد رمضان - عندا شي,UC16XmqDkuNdXwWl9itpHFbw,Saad Ramadan,1012248,6063,271,['https://en.wikipedia.org/wiki/Music'],PT3M9S
522,CpqMwYdOd7E,Phone Mila Ke - Official Music Video | @raftaarmusic #trendingshorts #shortsvideo #dance,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,939624,37361,139,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",PT32S
523,NDjtguZG6iw,Green Day - Bobby Sox (Official Music Video),UCqC_GY2ZiENFz2pwL0cSfAw,Green Day,899554,39367,2743,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M47S
524,YF1io-WkIzU,Machine Gun Kelly - PRESSURE (Official Music Video),UCUs8sGiP4avNaYNVO22INhQ,Machine Gun Kelly,703411,34403,1108,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT31S
525,ydKNkVfST34,Kadim Al Sahir - Ya Wafiya ( Official Music Video) / كاظم الساهر - يا وفيّة,UCU-PNFiD-ro6F6kXhnE5IAg,Kadim Al Sahir,675519,41526,5951,['https://en.wikipedia.org/wiki/Music'],PT5M51S
526,56sgEJPDy9g,Chase Matthew - We All Grow Up (Official Music Video),UCXhCW6mkv5PtRC5Ot5p2Ftg,Chase Matthew,724190,11563,320,"['https://en.wikipedia.org/wiki/Christian_music', 'https://en.wikipedia.org/wiki/Country_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M5S
527,WnAjyyXAzWU,Lil Dicky - Harrison Ave (Official Music Video),UC8rVJyj4zE0S9-sccMLifIA,Lil Dicky,693459,38562,1899,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT6M3S
528,smIFEBaYaUk,Baby Calm Down Remix | Rema &amp; Selena Gomez official music video #Rema #Calmdown #Selenagomez #shorts,UCZkXjaC52jvC-lnNkAfeVZQ,Music Battle AM4,508256,17240,,['https://en.wikipedia.org/wiki/Music'],PT1M
529,ev_vPbqUlZs,BAD OMENS x POPPY - V.A.N (Official Music Video),UCAtlZO9a52JIhQRyXDRLaZQ,Sumerian Records,492022,38596,2471,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M14S
530,0MedMI2RKt8,Anycia ft. Latto - Back Outside (Official Music Video),UCgoQgHZP0qTuWyk36ihA4zw,Anycia,556858,29659,1261,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M59S
531,Ifc6-VCDsKw,Nordo - Yal 7ob (Official Music Video),UCIXt6QfV1V6fPmw7VGddWpg,MARWEN NORDO,474402,17042,1054,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M26S
532,ur1cb_OztPQ,Cody Johnson - The Painter (Official Music Video),UCSiayyh9OxKEOgyZwIdZlfw,Cody Johnson,522461,10622,383,"['https://en.wikipedia.org/wiki/Country_music', 'https://en.wikipedia.org/wiki/Music']",PT5M2S
533,6c6DY24wMqE,Mr Eazi - Òròkórò (feat. Angélique Kidjo) [Official Music Video],UCSytDzPOmj1YV4_ctQOIdhg,Mr Eazi,437172,4281,193,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Latin_America']",PT3M26S
534,FcvKzn3n514,【As Long As You Huat】- TITAN 2024 新年歌 (Official Music Video),UCGwcH4qnJ2qM_ZJUSFcAMAA,JianHao Tan,406648,16292,3024,['https://en.wikipedia.org/wiki/Music'],PT3M23S
535,6WCbQibPJ3Y,DDG - She Don&#39;t Play (Official Music Video),UC9OAeZY8zp976DwRvHGjuSA,DDGVEVO,410039,26699,2361,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M47S
536,FlS-rdcvgJo,Valiant - Love Problem | Official Music Video,UCY_rCaaNn5XxbDmKB1x-JQg,ValiantMusicVEVO,377716,23558,828,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M
537,2JEv8AVW8vw,David Kushner - Skin and Bones (Official Music Video),UCa4a-hXHI8bitNXnvyZNzEQ,DavidKushnerVEVO,353465,36937,1322,"['https://en.wikipedia.org/wiki/Independent_music', 'https://en.wikipedia.org/wiki/Music']",PT3M36S
538,Bq6Hcbbe0fs,Machine Gun Kelly - PRESSURE (Official Music Video),UCUs8sGiP4avNaYNVO22INhQ,Machine Gun Kelly,338348,17175,649,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT30S
